date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:27:09	25795/25795	---M-Z	200	added ('OK')	text/html	etag:%224bf24ac-6328-5e4b4580fda3b-gzip%22	https://www.uniqueskill.in/Technical-training-institute-Pune-Maharashtra.html	C:/Users/Mayank/Desktop/skill/www.uniqueskill.in/Technical-training-institute-Pune-Maharashtra.html	(from https://www.uniqueskill.in/)
20:27:09	29030/29030	---M-Z	200	added ('OK')	text/html	etag:%224be74ed-6fcb-5e4634ba91bf3-gzip%22	https://www.uniqueskill.in/csr.html	C:/Users/Mayank/Desktop/skill/www.uniqueskill.in/csr.html	(from https://www.uniqueskill.in/)
20:27:09	26607/26607	---M-Z	200	added ('OK')	text/html	etag:%224be786e-6654-5e4b4580487ba-gzip%22	https://www.uniqueskill.in/career.html	C:/Users/Mayank/Desktop/skill/www.uniqueskill.in/career.html	(from https://www.uniqueskill.in/)
20:27:10	229333/229333	---M-Z	200	added ('OK')	text/html	etag:%224be0160-37e3a-5e4b457dfd4f9-gzip%22	https://www.uniqueskill.in/gallery.html	C:/Users/Mayank/Desktop/skill/www.uniqueskill.in/gallery.html	(from https://www.uniqueskill.in/)
20:27:10	35761/35761	---M-Z	200	added ('OK')	text/html	etag:%224be7849-8a16-5e4b457f96419-gzip%22	https://www.uniqueskill.in/contact.html	C:/Users/Mayank/Desktop/skill/www.uniqueskill.in/contact.html	(from https://www.uniqueskill.in/)
20:27:10	16919/16919	---M--	200	added ('OK')	image/png	etag:%224c00188-4217-5e4378ceec966%22	https://www.uniqueskill.in/images/tagline.png	C:/Users/Mayank/Desktop/skill/www.uniqueskill.in/images/tagline.png	(from https://www.uniqueskill.in/)
20:27:10	188301/188301	---M--	200	added ('OK')	image/jpeg	etag:%224c0023b-2df8d-5e43790456bd1%22	https://www.uniqueskill.in/images/slider/s1.jpg	C:/Users/Mayank/Desktop/skill/www.uniqueskill.in/images/slider/s1.jpg	(from https://www.uniqueskill.in/)
20:27:11	341820/341820	---M--	200	added ('OK')	image/jpeg	etag:%224c0023a-5373c-5e4379042cfd4%22	https://www.uniqueskill.in/images/slider/s2.jpg	C:/Users/Mayank/Desktop/skill/www.uniqueskill.in/images/slider/s2.jpg	(from https://www.uniqueskill.in/)
20:27:11	216568/216568	---M--	200	added ('OK')	image/jpeg	etag:%224c0023c-34df8-5e437904bc0f2%22	https://www.uniqueskill.in/images/slider/s3.jpg	C:/Users/Mayank/Desktop/skill/www.uniqueskill.in/images/slider/s3.jpg	(from https://www.uniqueskill.in/)
20:27:11	15257/15257	---M--	200	added ('OK')	image/png	etag:%224c00134-3b99-5e4378ba3b965%22	https://www.uniqueskill.in/images/c4.png	C:/Users/Mayank/Desktop/skill/www.uniqueskill.in/images/c4.png	(from https://www.uniqueskill.in/)
20:27:11	28801/28801	---M--	200	added ('OK')	image/png	etag:%224c00131-7081-5e4378b968a51%22	https://www.uniqueskill.in/images/c1.png	C:/Users/Mayank/Desktop/skill/www.uniqueskill.in/images/c1.png	(from https://www.uniqueskill.in/)
20:27:12	24134/24134	---M--	200	added ('OK')	image/png	etag:%224c00133-5e46-5e4378b9b9369%22	https://www.uniqueskill.in/images/c2.png	C:/Users/Mayank/Desktop/skill/www.uniqueskill.in/images/c2.png	(from https://www.uniqueskill.in/)
20:27:12	15468/15468	---M--	200	added ('OK')	image/png	etag:%224c00136-3c6c-5e4378ba9d3ef%22	https://www.uniqueskill.in/images/c5.png	C:/Users/Mayank/Desktop/skill/www.uniqueskill.in/images/c5.png	(from https://www.uniqueskill.in/)
20:27:12	24892/24892	---M--	200	added ('OK')	image/png	etag:%224c00135-613c-5e4378ba572d0%22	https://www.uniqueskill.in/images/c3.png	C:/Users/Mayank/Desktop/skill/www.uniqueskill.in/images/c3.png	(from https://www.uniqueskill.in/)
20:27:12	22906/22906	---M--	200	added ('OK')	image/jpeg	etag:%224c0011c-597a-5e4378b4b9a45%22	https://www.uniqueskill.in/images/affiliations1.jpg	C:/Users/Mayank/Desktop/skill/www.uniqueskill.in/images/affiliations1.jpg	(from https://www.uniqueskill.in/)
20:27:12	16658/16658	---M--	200	added ('OK')	image/jpeg	etag:%224c0011d-4112-5e4378b50b2fd%22	https://www.uniqueskill.in/images/affiliations2.jpg	C:/Users/Mayank/Desktop/skill/www.uniqueskill.in/images/affiliations2.jpg	(from https://www.uniqueskill.in/)
20:27:13	12367/12367	---M--	200	added ('OK')	image/jpeg	etag:%224c0011e-304f-5e4378b514b56%22	https://www.uniqueskill.in/images/affiliations3.jpg	C:/Users/Mayank/Desktop/skill/www.uniqueskill.in/images/affiliations3.jpg	(from https://www.uniqueskill.in/)
20:27:13	14390/14390	---M--	200	added ('OK')	image/jpeg	etag:%224c0011f-3836-5e4378b55817c%22	https://www.uniqueskill.in/images/affiliations4.jpg	C:/Users/Mayank/Desktop/skill/www.uniqueskill.in/images/affiliations4.jpg	(from https://www.uniqueskill.in/)
20:27:13	11427/11427	---M--	200	added ('OK')	image/jpeg	etag:%224c00120-2ca3-5e4378b568736%22	https://www.uniqueskill.in/images/affiliations5.jpg	C:/Users/Mayank/Desktop/skill/www.uniqueskill.in/images/affiliations5.jpg	(from https://www.uniqueskill.in/)
20:27:13	9927/9927	---M--	200	added ('OK')	image/jpeg	etag:%224c00121-26c7-5e4378b5a82c4%22	https://www.uniqueskill.in/images/affiliations6.jpg	C:/Users/Mayank/Desktop/skill/www.uniqueskill.in/images/affiliations6.jpg	(from https://www.uniqueskill.in/)
20:27:14	269265/269265	---M--	200	added ('OK')	image/png	etag:%224c001ca-41bd1-5e4378e58237d%22	https://www.uniqueskill.in/images/about/bg-1.png	C:/Users/Mayank/Desktop/skill/www.uniqueskill.in/images/about/bg-1.png	(from https://www.uniqueskill.in/)
20:27:14	16887/16887	---M--	200	added ('OK')	image/png	etag:%224c00115-41f7-5e4378b39bfd9%22	https://www.uniqueskill.in/images/a1.png	C:/Users/Mayank/Desktop/skill/www.uniqueskill.in/images/a1.png	(from https://www.uniqueskill.in/)
20:27:14	23190/23190	---M--	200	added ('OK')	image/png	etag:%224c00116-5a96-5e4378b3b2353%22	https://www.uniqueskill.in/images/a2.png	C:/Users/Mayank/Desktop/skill/www.uniqueskill.in/images/a2.png	(from https://www.uniqueskill.in/)
20:27:14	29820/29820	---M--	200	added ('OK')	image/png	etag:%224c00117-747c-5e4378b4047c3%22	https://www.uniqueskill.in/images/a3.png	C:/Users/Mayank/Desktop/skill/www.uniqueskill.in/images/a3.png	(from https://www.uniqueskill.in/)
20:27:14	23730/23730	---M--	200	added ('OK')	image/png	etag:%224c00118-5cb2-5e4378b407a8c%22	https://www.uniqueskill.in/images/a4.png	C:/Users/Mayank/Desktop/skill/www.uniqueskill.in/images/a4.png	(from https://www.uniqueskill.in/)
20:27:15	27948/27948	---M--	200	added ('OK')	image/png	etag:%224c00119-6d2c-5e4378b455c93%22	https://www.uniqueskill.in/images/a5.png	C:/Users/Mayank/Desktop/skill/www.uniqueskill.in/images/a5.png	(from https://www.uniqueskill.in/)
20:27:15	28880/28880	---M--	200	added ('OK')	image/png	etag:%224c0011a-70d0-5e4378b46142c%22	https://www.uniqueskill.in/images/a6.png	C:/Users/Mayank/Desktop/skill/www.uniqueskill.in/images/a6.png	(from https://www.uniqueskill.in/)
20:27:15	29116/29116	---M--	200	added ('OK')	image/png	etag:%224c001a5-71bc-5e4378da84eb5%22	https://www.uniqueskill.in/images/v1.png	C:/Users/Mayank/Desktop/skill/www.uniqueskill.in/images/v1.png	(from https://www.uniqueskill.in/)
20:27:15	48610/48610	---M--	200	added ('OK')	image/png	etag:%224c001a6-bde2-5e4378dad6f3d%22	https://www.uniqueskill.in/images/v2.png	C:/Users/Mayank/Desktop/skill/www.uniqueskill.in/images/v2.png	(from https://www.uniqueskill.in/)
20:27:15	41466/41466	---M--	200	added ('OK')	image/png	etag:%224c001a7-a1fa-5e4378db34b46%22	https://www.uniqueskill.in/images/v3.png	C:/Users/Mayank/Desktop/skill/www.uniqueskill.in/images/v3.png	(from https://www.uniqueskill.in/)
20:27:16	48789/48789	---M--	200	added ('OK')	image/jpeg	etag:%224c00139-be95-5e4378bb04469%22	https://www.uniqueskill.in/images/ca11.jpg	C:/Users/Mayank/Desktop/skill/www.uniqueskill.in/images/ca11.jpg	(from https://www.uniqueskill.in/)
20:27:16	47523/47523	---M--	200	added ('OK')	image/jpeg	etag:%224c00138-b9a3-5e4378baf2f0f%22	https://www.uniqueskill.in/images/ca12.jpg	C:/Users/Mayank/Desktop/skill/www.uniqueskill.in/images/ca12.jpg	(from https://www.uniqueskill.in/)
20:27:16	41190/41190	---M--	200	added ('OK')	image/jpeg	etag:%224c0013a-a0e6-5e4378bb45f37%22	https://www.uniqueskill.in/images/ca13.jpg	C:/Users/Mayank/Desktop/skill/www.uniqueskill.in/images/ca13.jpg	(from https://www.uniqueskill.in/)
20:27:16	50623/50623	---M--	200	added ('OK')	image/jpeg	etag:%224c0013b-c5bf-5e4378bb800ed%22	https://www.uniqueskill.in/images/ca14.jpg	C:/Users/Mayank/Desktop/skill/www.uniqueskill.in/images/ca14.jpg	(from https://www.uniqueskill.in/)
20:27:17	41159/41159	---M--	200	added ('OK')	image/jpeg	etag:%224c0013c-a0c7-5e4378bba1048%22	https://www.uniqueskill.in/images/ca15.jpg	C:/Users/Mayank/Desktop/skill/www.uniqueskill.in/images/ca15.jpg	(from https://www.uniqueskill.in/)
20:27:17	49744/49744	---M--	200	added ('OK')	image/jpeg	etag:%224c0012e-c250-5e4378b866d38%22	https://www.uniqueskill.in/images/bg2.jpg	C:/Users/Mayank/Desktop/skill/www.uniqueskill.in/images/bg2.jpg	(from https://www.uniqueskill.in/)
20:27:17	20525/20525	---M--	200	added ('OK')	image/png	etag:%224c00123-502d-5e4378b5fe1cc%22	https://www.uniqueskill.in/images/ap.png	C:/Users/Mayank/Desktop/skill/www.uniqueskill.in/images/ap.png	(from https://www.uniqueskill.in/)
20:27:17	22204/22204	---M--	200	added ('OK')	image/png	etag:%224c00171-56bc-5e4378c9093a4%22	https://www.uniqueskill.in/images/ks.png	C:/Users/Mayank/Desktop/skill/www.uniqueskill.in/images/ks.png	(from https://www.uniqueskill.in/)
20:27:18	41981/41981	---M--	200	added ('OK')	image/png	etag:%224c0038f-a3fd-5e437956693e9%22	https://www.uniqueskill.in/images/teachers/teacher-2/happy.png	C:/Users/Mayank/Desktop/skill/www.uniqueskill.in/images/teachers/teacher-2/happy.png	(from https://www.uniqueskill.in/)
20:27:18	12849/12849	---M--	200	added ('OK')	image/png	etag:%224c00137-3231-5e4378baa6090%22	https://www.uniqueskill.in/images/ca1.png	C:/Users/Mayank/Desktop/skill/www.uniqueskill.in/images/ca1.png	(from https://www.uniqueskill.in/)
20:27:18	28804/28804	---M--	200	added ('OK')	image/png	etag:%224c0013d-7084-5e4378bc0a002%22	https://www.uniqueskill.in/images/ca2.png	C:/Users/Mayank/Desktop/skill/www.uniqueskill.in/images/ca2.png	(from https://www.uniqueskill.in/)
20:27:18	24531/24531	---M--	200	added ('OK')	image/png	etag:%224c0013e-5fd3-5e4378bc43218%22	https://www.uniqueskill.in/images/ca3.png	C:/Users/Mayank/Desktop/skill/www.uniqueskill.in/images/ca3.png	(from https://www.uniqueskill.in/)
20:27:19	8655/8655	---M--	200	added ('OK')	image/jpeg	etag:%224c00172-21cf-5e4378c926097%22	https://www.uniqueskill.in/images/l1.jpg	C:/Users/Mayank/Desktop/skill/www.uniqueskill.in/images/l1.jpg	(from https://www.uniqueskill.in/)
20:27:19	10051/10051	---M--	200	added ('OK')	image/jpeg	etag:%224c00173-2743-5e4378c9638fd%22	https://www.uniqueskill.in/images/l2.jpg	C:/Users/Mayank/Desktop/skill/www.uniqueskill.in/images/l2.jpg	(from https://www.uniqueskill.in/)
20:27:19	11734/11734	---M--	200	added ('OK')	image/jpeg	etag:%224c00175-2dd6-5e4378c9bbb2d%22	https://www.uniqueskill.in/images/l3.jpg	C:/Users/Mayank/Desktop/skill/www.uniqueskill.in/images/l3.jpg	(from https://www.uniqueskill.in/)
20:27:19	13274/13274	---M--	200	added ('OK')	image/jpeg	etag:%224c00174-33da-5e4378c9c6326%22	https://www.uniqueskill.in/images/l4.jpg	C:/Users/Mayank/Desktop/skill/www.uniqueskill.in/images/l4.jpg	(from https://www.uniqueskill.in/)
20:27:19	15734/15734	---M--	200	added ('OK')	image/jpeg	etag:%224c00176-3d76-5e4378ca26e10%22	https://www.uniqueskill.in/images/l5.jpg	C:/Users/Mayank/Desktop/skill/www.uniqueskill.in/images/l5.jpg	(from https://www.uniqueskill.in/)
